Subject_ID,excluded,pressed_button1,pressed_button2,set_1,set_1_trials_total,set_1_chose_diatonic,set_1_chose_chromatic,set_1_%_diatonic,set_1_%_chromatic,set_1_rt_diatonic,set_1_rt_chromatic,set_1_rt,set_1_rt_diatonic:average,set_1_rt_chromatic:average,set_2,set_2_trials_total,set_2_chose_diatonic,set_2_chose_chromatic,set_2_%_diatonic,set_2_%_chromatic,set_2_rt_diatonic,set_2_rt_chromatic,set_2_rt,set_2_rt_diatonic:average,set_2_rt_chromatic:average,set_3,set_3_trials_total,set_3_chose_diatonic,set_3_chose_chromatic,set_3_%_diatonic,set_3_%_chromatic,set_3_rt_diatonic,set_3_rt_chromatic,set_3_rt,set_3_rt_diatonic:average,set_3_rt_chromatic:average
SVGb0006,False,66,54,"0, 2, 3, 5, 6, 8, 9",40,20,20,0.5,0.5,886.1500000020897,1008.3307499989926,947.2403750005411,0.9355069984232708,1.064493001576729,"0, 2, 4, 5, 7, 8, 11",40,16,24,0.4,0.6,1020.932812501087,6145.049791666102,4095.4030000000957,0.24928750906835376,1.5004749939544308,"0, 2, 3, 5, 7, 9, 11",40,22,18,0.55,0.45,1681.4843181842166,895.2038888884579,1327.6581250011252,1.2665039941534584,0.6742728960346619
SVGb0007,False,33,87,"0, 2, 3, 5, 6, 8, 9",40,24,16,0.6,0.4,1007.4202083333245,1346.3978124991554,1143.011249999657,0.8813738345389224,1.1779392481916162,"0, 2, 4, 5, 7, 8, 11",40,18,22,0.45,0.55,1400.7219444449292,1236.0968181826333,1310.1781250006666,1.069108022578393,0.9434570724358602,"0, 2, 3, 5, 7, 9, 11",40,17,23,0.425,0.575,1632.9679411762422,1299.9867391304224,1441.5037499998957,1.1328225411667228,0.9018268173985093
SVGb0018,False,91,29,"0, 2, 3, 5, 6, 8, 9",40,21,19,0.525,0.475,3390.6904761899373,1804.4363157888845,2637.219749999437,1.2857064627210761,0.6842191727819684,"0, 2, 4, 5, 7, 8, 11",40,20,20,0.5,0.5,2090.092250000831,2767.8622499999838,2428.9772500004074,0.8604824314433083,1.1395175685566918,"0, 2, 3, 5, 7, 9, 11",40,20,20,0.5,0.5,2467.073249999895,8903.194749999431,5685.1339999996635,0.43395164476334963,1.5660483552366502
SVGb0021,False,49,71,"0, 2, 3, 5, 6, 8, 9",40,18,22,0.45,0.55,1983.3805555665297,4618.003636363111,3432.423250004649,0.5778368257946753,1.3454062334407202,"0, 2, 4, 5, 7, 8, 11",40,21,19,0.525,0.475,2672.2323809545264,2181.554473691473,2439.160375004576,1.0955541949346046,0.8943874687564898,"0, 2, 3, 5, 7, 9, 11",40,14,26,0.35,0.65,2631.23607142396,1489.4042307681118,1889.0453749976587,1.3928919369801909,0.7884428031645125
SVGb0022,False,59,61,"0, 2, 3, 5, 6, 8, 9",40,25,15,0.625,0.375,1694.0440000034869,1958.434999998038,1793.1906250014435,0.9447093780127939,1.0921510366453435,"0, 2, 4, 5, 7, 8, 11",40,24,16,0.6,0.4,2526.3560416642576,1749.935000003461,2215.787624999939,1.1401616351496355,0.7897575472755468,"0, 2, 3, 5, 7, 9, 11",40,20,20,0.5,0.5,2444.1727499943227,1968.2927500020014,2206.232749998162,1.1078490018772311,0.8921509981227689
SVGb0023,False,56,64,"0, 2, 3, 5, 6, 8, 9",40,20,20,0.5,0.5,3870.018749963492,2697.2762499935925,3283.6474999785423,1.1785731416020695,0.8214268583979305,"0, 2, 4, 5, 7, 8, 11",40,15,25,0.375,0.625,2926.6143333322057,4373.378200000152,3830.841749999672,0.7639611668460218,1.141623299892387,"0, 2, 3, 5, 7, 9, 11",40,17,23,0.425,0.575,19185.827352928325,10950.268695667468,14450.381125003332,1.327703898392777,0.757784075100991
SVGb0025,False,52,68,"0, 2, 3, 5, 6, 8, 9",40,16,24,0.4,0.6,4714.018437458435,4254.448541663199,4438.2764999812935,1.0621281566117622,0.9585812289254918,"0, 2, 4, 5, 7, 8, 11",40,14,26,0.35,0.65,3272.7735714621044,4039.3300000219965,3771.035250026034,0.8678713813241364,1.0711461792870034,"0, 2, 3, 5, 7, 9, 11",40,20,20,0.5,0.5,4325.440500047989,4055.2435000194237,4190.342000033706,1.0322404472029243,0.9677595527970757
SVGb0027,False,46,74,"0, 2, 3, 5, 6, 8, 9",40,22,18,0.55,0.45,1266.8654545453717,4194.466666654787,2584.2859999946086,0.490218750768303,1.6230659712831854,"0, 2, 4, 5, 7, 8, 11",40,20,20,0.5,0.5,1779.7152500075754,2688.797250011703,2234.256250009639,0.7965582506482402,1.2034417493517597,"0, 2, 3, 5, 7, 9, 11",40,20,20,0.5,0.5,1362.2519999975339,687.1670000022277,1024.7094999998808,1.329403113758282,0.670596886241718
SVGb0028,False,66,54,"0, 2, 3, 5, 6, 8, 9",40,19,21,0.475,0.525,2775.730526313725,3290.215238097257,3045.835000000079,0.9113200571645059,1.0802342339940185,"0, 2, 4, 5, 7, 8, 11",40,19,21,0.475,0.525,2904.262631570945,2405.102142853485,2642.2033749942784,1.099182091377517,0.9102638220870084,"0, 2, 3, 5, 7, 9, 11",40,18,22,0.45,0.55,3157.9374999984993,2900.9522727256726,3016.5956249984447,1.0468547636377772,0.9616642842963642
SVGb0033,False,65,55,"0, 2, 3, 5, 6, 8, 9",40,15,25,0.375,0.625,2858.707333325098,2310.6506000086665,2516.1718750023283,1.1361335693025552,0.9183198584184669,"0, 2, 4, 5, 7, 8, 11",40,16,24,0.4,0.6,2137.337812477199,1674.827500008784,1859.83162499615,1.1492103821396324,0.9005264119069117,"0, 2, 3, 5, 7, 9, 11",40,18,22,0.45,0.55,2381.5580555561205,2050.727272723717,2199.6011249982985,1.0827226938965868,0.9323177959027927
